"setting","method","multiplier","cutoff","TPR_mean","TNR_mean","BA_mean","F2_mean","TPR_sd","TNR_sd","BA_sd","F2_sd","n_reps"
"gaussian","RKCCD-IOS",2,13,0.9056,1,0.9528,0.92143644499415,0.0955735923662438,0,0.0477867961831219,0.0820817783511666,200
"gaussian","RKCCD-OOS",0.5,1.75,0.974,0.913757894736842,0.943878947368421,0.737266372372598,0.0339671730384073,0.013045117322435,0.0171671158065369,0.032229366397675,200
"gaussian","RKCCD-OOS",0.59375,2.078125,0.9734,0.938526315789474,0.955963157894737,0.793350737274735,0.0340918062924423,0.0119353203369704,0.0174913787021529,0.0354827927250274,200
"gaussian","RKCCD-OOS",0.6875,2.40625,0.9728,0.956242105263158,0.964521052631579,0.838810668096504,0.0344396639394363,0.0105398009363504,0.0177432791096467,0.0369503486756726,200
"gaussian","RKCCD-OOS",0.78125,2.734375,0.9726,0.969231578947368,0.970915789473684,0.875725459375409,0.0343970315419001,0.00915275873088277,0.0175680971603245,0.0362756120095337,200
"gaussian","RKCCD-OOS",0.875,3.0625,0.972,0.977905263157895,0.974952631578947,0.901849079270098,0.034727944810394,0.00774601341599735,0.0177591194092692,0.0358323725490951,200
"gaussian","RKCCD-OOS",0.96875,3.390625,0.972,0.984242105263158,0.978121052631579,0.922251040998893,0.034727944810394,0.00651190703661574,0.0175228966708743,0.0337385037597291,200
"gaussian","RKCCD-OOS",1,3.5,0.972,0.9858,0.9789,0.927417380754012,0.034727944810394,0.00614961681699938,0.0175360531869273,0.0335019161530664,200
"gaussian","RKCCD-OOS",1.0625,3.71875,0.9718,0.988610526315789,0.980205263157895,0.936743814259801,0.0349120934828719,0.00557675624285621,0.0176665121888372,0.0334010166011577,200
"gaussian","RKCCD-OOS",1.15625,4.046875,0.9718,0.991673684210526,0.981736842105263,0.947260612481359,0.0349120934828719,0.00461576729287183,0.0176400343682009,0.0322725421908334,200
"gaussian","RKCCD-OOS",1.25,4.375,0.9716,0.993894736842105,0.982747368421053,0.954890576567361,0.0350941304201963,0.00393717276246409,0.0177241240483676,0.0317871946044125,200
"gaussian","RKCCD-OOS",1.34375,4.703125,0.9712,0.995526315789474,0.983363157894737,0.960363183526038,0.0352244775560331,0.00346757977082032,0.0176674576822968,0.0307541992113708,200
"gaussian","RKCCD-OOS",1.4375,5.03125,0.9712,0.996810526315789,0.984005263157895,0.964967131636613,0.0352244775560331,0.00282354080704849,0.0176378081343275,0.0300557261931218,200
"gaussian","RKCCD-OOS",1.53125,5.359375,0.971,0.997757894736842,0.984378947368421,0.968232833867606,0.0354015018277232,0.00237919030340401,0.0176843868456343,0.0296033892693563,200
"gaussian","RKCCD-OOS",1.625,5.6875,0.9708,0.998242105263158,0.984521052631579,0.969831215662503,0.0358017994550708,0.00223137234376179,0.0178415431361511,0.0295478341851138,200
"gaussian","RKCCD-OOS",1.71875,6.015625,0.97,0.998547368421053,0.984273684210526,0.970290308300055,0.0366978700790892,0.00206132406936502,0.0182826294992019,0.0301283009087733,200
"gaussian","RKCCD-OOS",1.8125,6.34375,0.9696,0.998852631578947,0.984226315789474,0.971085167820935,0.0368050684733317,0.00192045202249683,0.0183306361530005,0.0300971140906159,200
"gaussian","RKCCD-OOS",1.90625,6.671875,0.9696,0.999063157894737,0.984331578947368,0.971860767650864,0.0368050684733317,0.00173652550150675,0.0183618052014119,0.0302174815083576,200
"gaussian","RKCCD-OOS",2,7,0.9688,0.999189473684211,0.983994736842105,0.971672433466744,0.0374375191378379,0.00161670451455466,0.0186962993252088,0.0307990610453903,200
"gaussian","UNCCD-IOS",0.5,3.25,1,0.8952,0.9476,0.716157835506156,0,0.0135751928693542,0.00678759643467705,0.0265386206007844,200
"gaussian","UNCCD-IOS",0.59375,3.859375,1,0.914136842105263,0.957068421052632,0.755233522007425,0,0.0141970549447106,0.00709852747235529,0.0308085302622775,200
"gaussian","UNCCD-IOS",0.6875,4.46875,1,0.930473684210526,0.965236842105263,0.792426090923909,0,0.0141303191622069,0.00706515958110342,0.0334733364296138,200
"gaussian","UNCCD-IOS",0.78125,5.078125,1,0.941157894736842,0.970578947368421,0.818462538145959,0,0.0124499862490855,0.00622499312454271,0.0312942053213949,200
"gaussian","UNCCD-IOS",0.875,5.6875,1,0.947231578947368,0.973615789473684,0.834073902022745,0,0.011525355045892,0.00576267752294595,0.0303868500806136,200
"gaussian","UNCCD-IOS",0.96875,6.296875,1,0.950115789473684,0.975057894736842,0.841663876281886,0,0.0108958106814011,0.00544790534070052,0.0293972437642546,200
"gaussian","UNCCD-IOS",1,6.5,1,0.950863157894737,0.975431578947368,0.843671001424054,0,0.0108245300401867,0.00541226502009336,0.0293833808757071,200
"gaussian","UNCCD-IOS",1.0625,6.90625,1,0.9524,0.9762,0.847795731512326,0,0.0105184630851961,0.00525923154259806,0.0288190504256406,200
"gaussian","UNCCD-IOS",1.15625,7.515625,1,0.954568421052632,0.977284210526316,0.853760095236013,0,0.0104963551404422,0.00524817757022111,0.0290880477047887,200
"gaussian","UNCCD-IOS",1.25,8.125,1,0.957389473684211,0.978694736842105,0.861695611450968,0,0.0107041107471543,0.0053520553735772,0.0302127605185998,200
"gaussian","UNCCD-IOS",1.34375,8.734375,1,0.961189473684211,0.980594736842105,0.872649073490544,0,0.0111171452532486,0.00555857262662431,0.0320938905314407,200
"gaussian","UNCCD-IOS",1.4375,9.34375,0.9994,0.965431578947368,0.982415789473684,0.884761290090995,0.00487429933117051,0.0115355586287534,0.00598051979501872,0.0340793337365161,200
"gaussian","UNCCD-IOS",1.53125,9.953125,0.9988,0.97041052631579,0.984605263157895,0.899401227522281,0.00792933615501932,0.0115487524355891,0.00673760037718842,0.0353567245274415,200
"gaussian","UNCCD-IOS",1.625,10.5625,0.998,0.976084210526316,0.987042105263158,0.916600884241996,0.00961573250240402,0.0114671625538018,0.00714115846033971,0.0363850561045422,200
"gaussian","UNCCD-IOS",1.71875,11.171875,0.9972,0.980715789473684,0.988957894736842,0.930947291440992,0.0109892592605452,0.0109777618088846,0.00740045930863849,0.0361436272331308,200
"gaussian","UNCCD-IOS",1.8125,11.78125,0.9954,0.9846,0.99,0.942443014815224,0.0139935376326856,0.0104415044063591,0.00851834827121602,0.0359871417322375,200
"gaussian","UNCCD-IOS",1.90625,12.390625,0.9946,0.988,0.9913,0.953329830971532,0.0158776730824313,0.00971768417707593,0.00930884689385244,0.0352756439741876,200
"gaussian","UNCCD-IOS",2,13,0.9922,0.991136842105263,0.991668421052632,0.962182012254099,0.0195208946166195,0.00855641016768209,0.010605246258706,0.0330922881845387,200
"gaussian","UNCCD-OOS",0.5,1.75,0.7826,0.911473684210526,0.847036842105263,0.605739570729679,0.0932346690753388,0.0137635281874551,0.0482926182669589,0.0718017648465432,200
"gaussian","UNCCD-OOS",0.59375,2.078125,0.7772,0.936589473684211,0.856894736842105,0.649750410622443,0.0933150496568603,0.0120828720160107,0.0477064841401844,0.0749500014999968,200
"gaussian","UNCCD-OOS",0.6875,2.40625,0.7746,0.95461052631579,0.864605263157895,0.687042728443291,0.0944001958945246,0.0107754490488118,0.0481983121887746,0.0797008320152996,200
"gaussian","UNCCD-OOS",0.78125,2.734375,0.7704,0.967473684210526,0.868936842105263,0.714672916194066,0.0944906472200307,0.0095692962416262,0.0482130451649494,0.0825615905934326,200
"gaussian","UNCCD-OOS",0.875,3.0625,0.7668,0.976789473684211,0.871794736842105,0.735611807542711,0.0934528069973203,0.00751673754241186,0.0473931931463636,0.0821468412181996,200
"gaussian","UNCCD-OOS",0.96875,3.390625,0.7642,0.983157894736842,0.873678947368421,0.750651131423497,0.0938209563972596,0.00626444793677028,0.0473356138409504,0.0825378347895308,200
"gaussian","UNCCD-OOS",1,3.5,0.7632,0.984757894736842,0.873978947368421,0.754285905941733,0.0931296173520578,0.00590666417153743,0.0469540973612498,0.0821077320077747,200
"gaussian","UNCCD-OOS",1.0625,3.71875,0.762,0.987673684210526,0.874836842105263,0.761536132732698,0.0932495436285598,0.00533261756450127,0.0469664803483539,0.0824418278035352,200
"gaussian","UNCCD-OOS",1.15625,4.046875,0.7604,0.991,0.8757,0.769845325827872,0.0926648469989927,0.00435068238324176,0.0466780067541093,0.0825507154175003,200
"gaussian","UNCCD-OOS",1.25,4.375,0.76,0.993378947368421,0.87668947368421,0.776444320856646,0.0927524397273564,0.00379544916631572,0.0464856347572446,0.0817703987643958,200
"gaussian","UNCCD-OOS",1.34375,4.703125,0.7582,0.995021052631579,0.87661052631579,0.779794094828814,0.0926915238463843,0.00313170840668623,0.0464126034863951,0.0818016152820363,200
"gaussian","UNCCD-OOS",1.4375,5.03125,0.7562,0.996263157894737,0.876231578947368,0.781818569044936,0.0928042192768082,0.00271463740738364,0.0464590316990638,0.0820917256277847,200
"gaussian","UNCCD-OOS",1.53125,5.359375,0.7556,0.997221052631579,0.87641052631579,0.784200585780422,0.0932529924614491,0.00237621627045428,0.0466596824059174,0.0825591320927367,200
"gaussian","UNCCD-OOS",1.625,5.6875,0.7546,0.997852631578947,0.876226315789474,0.785260317962167,0.0932432922938103,0.00216225425803356,0.0466374917668426,0.0826667711821385,200
"gaussian","UNCCD-OOS",1.71875,6.015625,0.753,0.998305263157895,0.875652631578947,0.785224591392219,0.0933088027107656,0.00195379469632587,0.0466279435448844,0.0825810865736767,200
"gaussian","UNCCD-OOS",1.8125,6.34375,0.7528,0.998778947368421,0.875789473684211,0.786505773988518,0.0936805219936622,0.00173219144454231,0.0468169134271172,0.0830289331993208,200
"gaussian","UNCCD-OOS",1.90625,6.671875,0.7524,0.999010526315789,0.875705263157895,0.786888746805696,0.0937345766207505,0.00154963535373136,0.0468830354685071,0.0833430668596465,200
"gaussian","UNCCD-OOS",2,7,0.7522,0.999210526315789,0.875705263157895,0.787353898828382,0.0937609491093677,0.00132540784949794,0.0469401260835598,0.0836652125390132,200
"matern","RKCCD-IOS",0.5,2.5,1,0.943667379371074,0.971833689685537,0.892389728286958,0,0.0213238148681082,0.0106619074340541,0.0599798967608367,200
"matern","RKCCD-IOS",0.59375,2.96875,1,0.953967666643025,0.976983833321512,0.90839141679523,0,0.0203327661258142,0.0101663830629071,0.0578670862950061,200
"matern","RKCCD-IOS",0.6875,3.4375,0.999175,0.963204729225975,0.981189864612987,0.92396725522541,0.00926680871274426,0.0172228565515063,0.00990512709460316,0.0513783780650065,200
"matern","RKCCD-IOS",0.78125,3.90625,0.998975,0.974022348379553,0.986498674189776,0.944949215706161,0.0096717157437104,0.0130457052785962,0.00799245483421443,0.0378271345732191,200
"matern","RKCCD-IOS",0.875,4.375,0.997525,0.981294655191776,0.989409827595888,0.959536626348933,0.0206550850322249,0.011011788438334,0.0124110381102437,0.0317802207130209,200
"matern","RKCCD-IOS",0.96875,4.84375,0.996472727272727,0.984697785489609,0.990585256381168,0.966166028418245,0.0273071387139618,0.0100947865395648,0.0154482823825266,0.0324326504911109,200
"matern","RKCCD-IOS",1,5,0.996245454545455,0.985428577732802,0.990837016139128,0.967304288656579,0.0278417675910187,0.00968147044535911,0.0154825371293847,0.032174383846097,200
"matern","RKCCD-IOS",1.0625,5.3125,0.995967676767677,0.986318787869918,0.991143232318797,0.968850525241106,0.0280802382659129,0.00955180451546408,0.0155624313191314,0.0318730743848095,200
"matern","RKCCD-IOS",1.15625,5.78125,0.995340404040404,0.987288569788409,0.991314486914406,0.970114023700947,0.0302544979150336,0.00906449853252662,0.0163512448304418,0.0324736935694974,200
"matern","RKCCD-IOS",1.25,6.25,0.994619013666073,0.98811635053455,0.991367682100311,0.970860470144445,0.0327182256632739,0.00853601017460392,0.0172281746958914,0.0332566057978661,200
"matern","RKCCD-IOS",1.34375,6.71875,0.993177781007001,0.988956960966893,0.991067370986947,0.970987732640221,0.0363657292324537,0.0082494690389064,0.0188224223300796,0.0352507872193907,200
"matern","RKCCD-IOS",1.4375,7.1875,0.992507695536916,0.990188305104964,0.99134800032094,0.972556133416658,0.0383576756271021,0.00800227749142865,0.0195464933353849,0.0361678671892125,200
"matern","RKCCD-IOS",1.53125,7.65625,0.990918492419771,0.99075768774504,0.990838090082406,0.972406933385685,0.0448190401864554,0.00767742575773455,0.0227031910582205,0.0405829473370866,200
"matern","RKCCD-IOS",1.625,8.125,0.990710159086438,0.991866462714437,0.991288310900437,0.974215365614534,0.04487342133621,0.00716811321112712,0.0227511396459173,0.0405541728582761,200
"matern","RKCCD-IOS",1.71875,8.59375,0.990501825753105,0.992982510381373,0.991742168067239,0.976151196622523,0.0449267657397522,0.00663668880485672,0.0227284397831699,0.040122523637061,200
"matern","RKCCD-IOS",1.8125,9.0625,0.989392429369918,0.993769208302281,0.991580818836099,0.976801449014349,0.0483028384009287,0.00639653618985883,0.0242995326838697,0.0425865105311668,200
"matern","RKCCD-IOS",1.90625,9.53125,0.988670207147696,0.994407256593034,0.991538731870365,0.977433062845986,0.0488350590330909,0.00620948241384535,0.0242918429378525,0.0422941918812988,200
"matern","RKCCD-IOS",2,10,0.985988849063002,0.995032527385477,0.990510688224239,0.976618564970484,0.055914842187405,0.00556828870117536,0.0278300820384195,0.0482228359515052,200
"matern","RKCCD-OOS",0.5,2,0.805033639968521,0.957881134224471,0.881457387096496,0.761009949538027,0.130438580301351,0.0192204006139192,0.0655013157551597,0.101840883934727,200
"matern","RKCCD-OOS",0.59375,2.375,0.791270423666202,0.972872060917709,0.882071242291956,0.773870359523081,0.135450525357806,0.0156236961752084,0.067906368187708,0.109240364037553,200
"matern","RKCCD-OOS",0.6875,2.75,0.780197620221847,0.981928196388762,0.881062908305304,0.779298083881617,0.13906085490581,0.0121459129587304,0.0692576281854463,0.115495586737344,200
"matern","RKCCD-OOS",0.78125,3.125,0.772301223288961,0.987785373182573,0.880043298235767,0.782914528863064,0.139383707766651,0.00942958127700676,0.0696781127889121,0.118600976304968,200
"matern","RKCCD-OOS",0.875,3.5,0.766650544330002,0.991739890035688,0.879195217182845,0.784839837567763,0.141579215297969,0.00795108178018456,0.0704760801909465,0.12204957414614,200
"matern","RKCCD-OOS",0.96875,3.875,0.762282880293259,0.994115169823009,0.878199025058134,0.785616846839475,0.141537179038495,0.00692397436834966,0.0705842710764643,0.123404620958975,200
"matern","RKCCD-OOS",1,4,0.761707222398522,0.994649442102233,0.878178332250377,0.786070718849632,0.141532617787001,0.00658997088786716,0.0705967290696314,0.12357600145356,200
"matern","RKCCD-OOS",1.0625,4.25,0.760674354903698,0.995581901130841,0.87812812801727,0.787060055130068,0.142365081093018,0.00593476171213548,0.0710714806817885,0.124857630476462,200
"matern","RKCCD-OOS",1.15625,4.625,0.757987740793171,0.996576740929973,0.877282240861572,0.786404386979524,0.143085251963347,0.0051559407030961,0.0713100567780927,0.125826028135687,200
"matern","RKCCD-OOS",1.25,5,0.756695948813221,0.997175566544842,0.876935757679031,0.786329070526298,0.142681691770977,0.00471780644397565,0.0711634018252207,0.125895418783407,200
"matern","RKCCD-OOS",1.34375,5.375,0.754844499537859,0.997856196863493,0.876350348200676,0.785809903034938,0.142740838157252,0.0040119026448504,0.0711877558635509,0.126375266162762,200
"matern","RKCCD-OOS",1.4375,5.75,0.752946326324788,0.998422539316444,0.875684432820616,0.785050936137593,0.141999366508668,0.00337271292667696,0.0707504006030674,0.125971574490679,200
"matern","RKCCD-OOS",1.53125,6.125,0.752546326324788,0.998755903489925,0.875651114907356,0.785300542061486,0.142431145489693,0.00283233868869327,0.0710249019356324,0.126686789195522,200
"matern","RKCCD-OOS",1.625,6.5,0.75232893502044,0.999108229382701,0.875718582201571,0.785742483919717,0.142484895021224,0.00240270346728268,0.0710789094813505,0.126909694242682,200
"matern","RKCCD-OOS",1.71875,6.875,0.751935416501921,0.99929371182468,0.875614564163301,0.785750634551094,0.142799256121045,0.00215047590636712,0.0712627997517421,0.127369518867842,200
"matern","RKCCD-OOS",1.8125,7.25,0.751697321263826,0.999364953667592,0.875531137465709,0.785667169413923,0.143061396995204,0.00208810970973836,0.0713994024726156,0.127646843432978,200
"matern","RKCCD-OOS",1.90625,7.625,0.751505013571518,0.999471293255381,0.87548815341345,0.785697145590424,0.143271250363873,0.00190279273155803,0.0715452314828184,0.128075590155453,200
"matern","RKCCD-OOS",2,8,0.751505013571518,0.999512530544093,0.875508772057806,0.785796777997816,0.143271250363873,0.00186864347884486,0.0715615986826842,0.128153846883609,200
"matern","UNCCD-IOS",0.5,1.75,0.988562801932367,0.9220859768099,0.955324389371134,0.84913200916099,0.0929795941130681,0.0245178078489918,0.0483705355140546,0.100896672053363,200
"matern","UNCCD-IOS",0.59375,2.078125,0.987850241545894,0.939502668351981,0.963676454948937,0.874601300297995,0.0988383529640733,0.0221904785063488,0.0507525028043731,0.103179983610521,200
"matern","UNCCD-IOS",0.6875,2.40625,0.98719806763285,0.952730370162302,0.969964218897576,0.89590792149693,0.104413024907651,0.0205003590678084,0.0530881561768152,0.105505594285983,200
"matern","UNCCD-IOS",0.78125,2.734375,0.98719806763285,0.962925481529754,0.975061774581302,0.914180474758267,0.104413024907651,0.0182135580210347,0.053212551273811,0.103761810996513,200
"matern","UNCCD-IOS",0.875,3.0625,0.986763285024155,0.9705301885768,0.978646736800477,0.927732719864825,0.107938154113172,0.0163343535461667,0.0548404927498086,0.106823719188946,200
"matern","UNCCD-IOS",0.96875,3.390625,0.986763285024155,0.976587674683937,0.981675479854046,0.938833552200527,0.107938154113172,0.0137452966147112,0.054084069692737,0.105739262082719,200
"matern","UNCCD-IOS",1,3.5,0.986763285024155,0.978247668990007,0.982505477007081,0.941969141392434,0.107938154113172,0.0132064407142802,0.0541525388400443,0.105660361060814,200
"matern","UNCCD-IOS",1.0625,3.71875,0.986763285024155,0.981214371273361,0.983988828148758,0.947627405942483,0.107938154113172,0.012204175242893,0.0541363884466572,0.105556463315542,200
"matern","UNCCD-IOS",1.15625,4.046875,0.986485507246377,0.984041445596948,0.985263476421662,0.952840087463358,0.109967980085907,0.0110006829821057,0.0549608158178468,0.10748018081414,200
"matern","UNCCD-IOS",1.25,4.375,0.986485507246377,0.986499220775535,0.986492364010956,0.957826673328234,0.109967980085907,0.0104422376076307,0.0550852870472006,0.107473631158963,200
"matern","UNCCD-IOS",1.34375,4.703125,0.986485507246377,0.988935197199081,0.987710352222729,0.962670012488347,0.109967980085907,0.00957889405600713,0.0551961119939577,0.107533844314883,200
"matern","UNCCD-IOS",1.4375,5.03125,0.986268115942029,0.990924411743157,0.988596263842593,0.966096027069022,0.111783153128495,0.00853230881312678,0.0558998076186677,0.109598180558074,200
"matern","UNCCD-IOS",1.53125,5.359375,0.986050724637681,0.992348691470877,0.989199708054279,0.968926163181538,0.113652512485228,0.0075015680677232,0.0567561721047664,0.111669744694205,200
"matern","UNCCD-IOS",1.625,5.6875,0.986050724637681,0.99325044435476,0.98965058449622,0.97099202580653,0.113652512485228,0.00710665230268749,0.0566598582831961,0.111629927976766,200
"matern","UNCCD-IOS",1.71875,6.015625,0.986050724637681,0.994413868562693,0.990232296600187,0.973477392704201,0.113652512485228,0.00645802217706436,0.0565728988404058,0.111640739393794,200
"matern","UNCCD-IOS",1.8125,6.34375,0.986050724637681,0.995066789822047,0.990558757229864,0.974921384071274,0.113652512485228,0.00598046544036219,0.0566002176268035,0.111607076539205,200
"matern","UNCCD-IOS",1.90625,6.671875,0.985800724637681,0.995553373698724,0.990677049168203,0.975751375026024,0.113676663867714,0.00575643695851596,0.0566317229352505,0.111638406633402,200
"matern","UNCCD-IOS",2,7,0.985628310844578,0.995952820000151,0.990790565422364,0.976506145227869,0.113681169526544,0.00543215290617357,0.0566480414341639,0.111653991250593,200
"matern","UNCCD-OOS",0.5,1.5,0.787923381975276,0.94557362936502,0.866748505670148,0.730658023069829,0.105839458103142,0.0215365739262267,0.0543502265220155,0.0952379720324085,200
"matern","UNCCD-OOS",0.59375,1.78125,0.775892860385474,0.966359440491542,0.871126150438508,0.751914977481277,0.107192096399511,0.0172539322661392,0.0543738317870506,0.0935019367246061,200
"matern","UNCCD-OOS",0.6875,2.0625,0.764952125097261,0.978383339851366,0.871667732474314,0.761953612671884,0.11201432320823,0.0132799136016723,0.0566690547366984,0.0973427213102688,200
"matern","UNCCD-OOS",0.78125,2.34375,0.755052601766646,0.986028655764242,0.870540628765444,0.765838262731014,0.113885718551491,0.0104429098222383,0.0570391562515724,0.0983930709273284,200
"matern","UNCCD-OOS",0.875,2.625,0.745992686399834,0.991394724814466,0.86869370560715,0.767389166037343,0.115772209387377,0.00852791086802485,0.0578601917950606,0.101087286681479,200
"matern","UNCCD-OOS",0.96875,2.90625,0.738297283638078,0.99391340047907,0.866105342058574,0.765504632619731,0.114179193292239,0.00710474986837181,0.0570820429314635,0.100411683693462,200
"matern","UNCCD-OOS",1,3,0.73647972507914,0.994906819416653,0.865693272247896,0.765428770521946,0.114503947899864,0.00638474516810736,0.0571177157230063,0.100925424643901,200
"matern","UNCCD-OOS",1.0625,3.1875,0.731703180943619,0.995969743277107,0.863836462110363,0.763232731068172,0.115607723723538,0.00563377593702575,0.0577684688334318,0.102710145446174,200
"matern","UNCCD-OOS",1.15625,3.46875,0.724797650451056,0.996956685582526,0.860877168016791,0.758845370032419,0.115574345042885,0.00491149393217923,0.0577295096808454,0.103169979200588,200
"matern","UNCCD-OOS",1.25,3.75,0.717640241239281,0.997793466490536,0.857716853864908,0.753830253433862,0.116803965096677,0.00442985762826697,0.058092133964768,0.104227876853265,200
"matern","UNCCD-OOS",1.34375,4.03125,0.711866704339601,0.998194726404352,0.855030715371976,0.749355124696035,0.116313851400301,0.00387184498827124,0.0578411432145756,0.104280597087919,200
"matern","UNCCD-OOS",1.4375,4.3125,0.707093920557336,0.998711492117151,0.852902706337243,0.746012146210981,0.11651098313257,0.00320831752904294,0.0579955430458612,0.105158254384382,200
"matern","UNCCD-OOS",1.53125,4.59375,0.703511078061879,0.998982876680394,0.851246977371136,0.743387289492382,0.114656057086411,0.0029993654560824,0.057115575326184,0.103778675204746,200
"matern","UNCCD-OOS",1.625,4.875,0.700056335082718,0.999206238522849,0.849631286802783,0.740729004210034,0.11481129378138,0.00273707660209246,0.057210084010679,0.104205922599482,200
"matern","UNCCD-OOS",1.71875,5.15625,0.696933661475544,0.999397704631508,0.848165683053526,0.738267007910924,0.114228234015566,0.0024689897219211,0.0569726965278734,0.103957502855996,200
"matern","UNCCD-OOS",1.8125,5.4375,0.694712566057972,0.999503141243301,0.847107853650636,0.736411220741871,0.115591374636023,0.00239853812478204,0.0576880449097435,0.105599976190824,200
"matern","UNCCD-OOS",1.90625,5.71875,0.691800859489686,0.999503141243301,0.845652000366494,0.733811270205166,0.11449322056461,0.00239853812478204,0.0571368317720628,0.104818185634053,200
"matern","UNCCD-OOS",2,6,0.688803991376719,0.999562989728149,0.844183490552434,0.731129338719347,0.115396379994623,0.00232244303272613,0.0576315793853994,0.105908153139243,200
"uniform","RKCCD-IOS",0.5,2.5,1,0.936168421052632,0.968084210526316,0.806015017592776,0,0.0128080070725485,0.00640400353627424,0.0314644556894654,200
"uniform","RKCCD-IOS",0.59375,2.96875,1,0.957263157894737,0.978631578947369,0.861844971945437,0,0.0131040952500884,0.00655204762504421,0.0365573327523801,200
"uniform","RKCCD-IOS",0.6875,3.4375,1,0.968926315789474,0.984463157894737,0.89550594594719,0,0.0104769857067429,0.0052384928533715,0.0315124863121651,200
"uniform","RKCCD-IOS",0.78125,3.90625,1,0.974536842105263,0.987268421052632,0.912432120424738,0,0.00776783487337166,0.00388391743668589,0.0244942265540862,200
"uniform","RKCCD-IOS",0.875,4.375,1,0.978010526315789,0.989005263157895,0.923420781080861,0,0.00690925082091222,0.00345462541045611,0.0222807329309316,200
"uniform","RKCCD-IOS",0.96875,4.84375,1,0.9812,0.9906,0.933846020304039,0,0.00671906541144981,0.00335953270572491,0.022053606348649,200
"uniform","RKCCD-IOS",1,5,1,0.982557894736842,0.991278947368421,0.938368780171119,0,0.00671199298397667,0.00335599649198835,0.0222289229570388,200
"uniform","RKCCD-IOS",1.0625,5.3125,1,0.985789473684211,0.992894736842105,0.949214686187807,0,0.00607217731097321,0.00303608865548665,0.0205786118303568,200
"uniform","RKCCD-IOS",1.15625,5.78125,1,0.989894736842105,0.994947368421053,0.963422592568266,0,0.0056355929209886,0.00281779646049436,0.0196244943614812,200
"uniform","RKCCD-IOS",1.25,6.25,1,0.992726315789474,0.996363157894737,0.973441597714438,0,0.00508636145152912,0.00254318072576461,0.0180761530575896,200
"uniform","RKCCD-IOS",1.34375,6.71875,0.9998,0.99401052631579,0.996905263157895,0.977872312759961,0.00282842712474619,0.00463406679834504,0.00272055864292834,0.0167596649945171,200
